CustomerID,CustomerName,Quantity,Price (NPR),Sales (NPR),Channel,Ratings,ProductCategory,PaymentMethod,TransactionDate,StoreLocation,DiscountApplied (NPR),LoyaltyMember,CustomerContact,Feedback,Gender
CUST084,Ram Shrestha,7,1033,8180,Website,3,Personal Care,Cash,10/27/2024 4:27,-,240,Yes,9871197997,Friendly staff,Female
CUST085,Ram Shrestha,11,271,3577,Market Visit,3,Personal Care,Mobile Payment,6/10/2024 21:41,Pokhara,60,Yes,9844549556,Friendly staff,Female
CUST086,Sarita Lama,5,1699,8495,Website,4,Groceries,Cash,12/30/2023 4:55,-,100,No,9846954858,Prices a bit high,Female
CUST087,Kamal Sharma,6,1759,11608,Website,2,Household,Cash,1/17/2024 17:55,-,240,Yes,9839453241,Great experience,Female
CUST088,Sita Tamang,10,604,6040,Website,2,Personal Care,Cash,8/26/2024 9:06,-,100,No,9896653041,Great experience,Female
CUST089,Ram Shrestha,5,1636,8637,Market Visit,4,Personal Care,Mobile Payment,2/8/2024 15:35,Pokhara,60,Yes,9897101027,Prices a bit high,Female
CUST090,Sarita Lama,4,867,3468,Market Visit,3,Electronics,Card,3/24/2024 19:56,Bhaktapur,50,No,9862774264,Quick delivery,Male
CUST091,Asha Rai,10,1922,19220,Market Visit,3,Personal Care,Mobile Payment,4/27/2024 5:24,Lalitpur,0,No,9894586757,Great experience,Female
CUST092,Sita Tamang,5,477,2385,Market Visit,2,Groceries,Cash,12/18/2023 13:10,Bhaktapur,0,No,9859537965,Quick delivery,Female
CUST093,Sarita Lama,4,1790,7160,Market Visit,2,Clothing,Card,5/2/2024 6:11,Kathmandu,0,No,9875961867,Quick delivery,Male
CUST094,Sita Tamang,3,156,468,Website,2,Groceries,Card,12/3/2023 13:29,-,100,No,9886143629,Friendly staff,Male
CUST095,Ram Shrestha,7,1352,9464,Website,4,Household,Cash,5/1/2024 7:22,-,50,No,9882478985,Great experience,Female
CUST096,Sarita Lama,6,184,1104,Market Visit,5,Clothing,Card,8/28/2024 15:06,Lalitpur,100,No,9831752928,Quick delivery,Male
CUST097,Bishal Gurung,3,754,2262,Market Visit,5,Personal Care,Mobile Payment,7/25/2024 9:25,Bhaktapur,50,No,9838799569,Satisfied with quality,Male
CUST098,Ram Shrestha,4,500,1980,Website,4,Household,Mobile Payment,8/18/2024 22:35,-,240,Yes,9840320578,Quick delivery,Female
CUST099,Ram Shrestha,6,1135,6810,Website,5,Electronics,Card,12/29/2023 19:02,-,50,No,9895939866,Great experience,Female
CUST100,Bishal Gurung,10,1567,18615,Market Visit,5,Household,Mobile Payment,7/5/2024 10:10,Pokhara,240,Yes,9854498131,Friendly staff,Male
CUST101,Sita Tamang,2,622,820,Market Visit,5,Household,Card,1/20/2024 1:10,Lalitpur,60,Yes,9854567430,Friendly staff,Female
CUST102,Sita Tamang,9,945,8505,Market Visit,3,Household,Mobile Payment,12/31/2023 19:53,Bhaktapur,50,No,9843014948,Quick delivery,Male
CUST103,Asha Rai,5,475,2508,Market Visit,5,Groceries,Mobile Payment,3/28/2024 16:46,Lalitpur,240,Yes,9812779452,Great experience,Male
CUST104,Bishal Gurung,2,255,336,Website,4,Electronics,Cash,11/29/2023 17:19,-,120,Yes,9855817320,Friendly staff,Female
CUST105,Asha Rai,1,585,585,Website,1,Electronics,Cash,5/4/2024 20:55,-,50,No,9835438444,Great experience,Male
CUST106,Kamal Sharma,4,251,1004,Website,2,Clothing,Card,6/30/2024 14:47,-,50,No,9849254397,Friendly staff,Male
CUST107,Sita Tamang,1,862,862,Website,5,Personal Care,Card,12/2/2023 13:28,-,50,No,9872888444,Great experience,Male
CUST108,Sita Tamang,11,1630,21516,Market Visit,5,Electronics,Cash,4/14/2024 2:03,Bhaktapur,0,Yes,9864471845,Great experience,Female
CUST109,Sita Tamang,10,430,5108,Website,3,Electronics,Cash,4/12/2024 4:55,-,120,Yes,9883701955,Quick delivery,Female
CUST110,Kamal Sharma,11,1701,22453,Website,5,Groceries,Cash,4/13/2024 19:10,-,120,Yes,9895729397,Great experience,Male
CUST111,Sita Tamang,6,572,3432,Website,1,Clothing,Card,9/11/2024 8:42,-,100,No,9826590591,Satisfied with quality,Female
CUST112,Sarita Lama,2,1250,2500,Market Visit,3,Groceries,Card,9/19/2024 19:23,Pokhara,50,No,9887747928,Quick delivery,Male
CUST113,Kamal Sharma,5,585,3088,Website,2,Groceries,Mobile Payment,6/2/2024 0:41,-,120,Yes,9853245856,Quick delivery,Male
CUST114,Bishal Gurung,7,1547,10829,Market Visit,5,Household,Mobile Payment,8/5/2024 9:15,Lalitpur,100,No,9894805646,Prices a bit high,Male
CUST115,Ram Shrestha,8,1290,11919,Website,2,Electronics,Mobile Payment,4/25/2024 23:17,-,60,Yes,9879212364,Friendly staff,Male
CUST116,Sita Tamang,5,1452,7260,Website,4,Groceries,Mobile Payment,6/3/2024 7:12,-,0,No,9841422157,Friendly staff,Male
CUST117,Sita Tamang,5,1008,5040,Website,5,Personal Care,Card,6/5/2024 15:23,-,0,No,9899819758,Great experience,Female
CUST118,Nima Sherpa,5,1905,10058,Website,5,Personal Care,Cash,12/10/2023 15:29,-,0,Yes,9857413452,Great experience,Male
CUST119,Kamal Sharma,6,1591,10500,Website,4,Electronics,Mobile Payment,1/1/2024 1:00,-,120,Yes,9823670650,Friendly staff,Female
CUST120,Sarita Lama,1,1998,1998,Website,4,Electronics,Card,10/17/2024 1:08,-,50,No,9821806274,Satisfied with quality,Male
CUST121,Kamal Sharma,4,1813,7252,Market Visit,4,Electronics,Card,12/26/2023 5:17,Pokhara,100,No,9830301272,Satisfied with quality,Female
CUST122,Asha Rai,8,1989,15912,Website,4,Electronics,Card,1/29/2024 8:29,-,200,No,9894417999,Great experience,Female
CUST123,Asha Rai,8,1432,11456,Market Visit,2,Personal Care,Card,10/15/2024 13:25,Kathmandu,100,No,9824694600,Satisfied with quality,Female
CUST124,Asha Rai,6,1580,9480,Market Visit,2,Groceries,Cash,7/10/2024 23:43,Kathmandu,100,No,9811795966,Quick delivery,Female
CUST125,Asha Rai,5,1151,5755,Website,2,Groceries,Card,10/25/2024 15:29,-,0,No,9820944473,Satisfied with quality,Female
CUST126,Sita Tamang,11,859,11338,Website,3,Groceries,Cash,4/7/2024 18:16,-,120,Yes,9897248188,Prices a bit high,Male
CUST127,Sarita Lama,7,135,1069,Market Visit,5,Personal Care,Card,12/8/2023 5:37,Bhaktapur,120,Yes,9811796284,Friendly staff,Female
CUST128,Kamal Sharma,6,1384,9134,Market Visit,2,Household,Card,6/27/2024 2:17,Bhaktapur,120,Yes,9871190564,Quick delivery,Female
CUST129,Sarita Lama,10,1381,16405,Market Visit,2,Household,Card,10/13/2024 16:58,Bhaktapur,60,Yes,9886144189,Satisfied with quality,Female
CUST130,Bishal Gurung,9,280,2520,Market Visit,2,Electronics,Mobile Payment,12/9/2023 4:08,Lalitpur,200,No,9899391421,Satisfied with quality,Female
CUST131,Nima Sherpa,2,1841,2430,Market Visit,4,Clothing,Cash,12/26/2023 12:51,Bhaktapur,120,Yes,9873381904,Prices a bit high,Male
CUST132,Bishal Gurung,5,1476,7380,Market Visit,3,Clothing,Cash,1/28/2024 11:28,Pokhara,100,No,9846926509,Satisfied with quality,Female
CUST133,Sarita Lama,10,1074,12758,Website,3,Electronics,Cash,2/3/2024 4:35,-,60,Yes,9880900431,Quick delivery,Female
CUST134,Sarita Lama,7,603,4774,Market Visit,3,Household,Mobile Payment,9/26/2024 1:45,Bhaktapur,240,Yes,9835708221,Satisfied with quality,Male
CUST135,Nima Sherpa,5,1130,5650,Market Visit,5,Personal Care,Cash,3/2/2024 11:33,Bhaktapur,200,No,9872244509,Satisfied with quality,Male
CUST136,Asha Rai,6,612,4039,Website,5,Electronics,Card,3/16/2024 9:04,-,0,Yes,9850475242,Quick delivery,Female
CUST137,Ram Shrestha,1,961,961,Website,1,Household,Cash,5/12/2024 2:22,-,50,No,9845165298,Great experience,Male
CUST138,Bishal Gurung,1,572,572,Website,3,Electronics,Mobile Payment,5/31/2024 3:08,-,0,No,9856668290,Satisfied with quality,Male
CUST139,Asha Rai,9,679,6111,Website,1,Household,Mobile Payment,1/9/2024 17:08,-,100,No,9862905643,Great experience,Male
CUST140,Nima Sherpa,5,1891,9984,Website,5,Electronics,Mobile Payment,12/12/2023 18:46,-,60,Yes,9821304462,Quick delivery,Male
CUST141,Bishal Gurung,10,135,1603,Market Visit,2,Groceries,Mobile Payment,1/25/2024 14:02,Pokhara,240,Yes,9850027262,Friendly staff,Female
CUST142,Kamal Sharma,3,318,838,Website,5,Household,Mobile Payment,3/28/2024 23:16,-,120,Yes,9851424370,Quick delivery,Female
CUST143,Kamal Sharma,2,1638,2161,Market Visit,5,Household,Mobile Payment,7/10/2024 13:36,Pokhara,240,Yes,9826246961,Prices a bit high,Male
CUST144,Nima Sherpa,6,1561,9366,Website,1,Groceries,Mobile Payment,6/24/2024 3:14,-,200,No,9812945787,Great experience,Male
CUST145,Nima Sherpa,5,822,4110,Market Visit,2,Clothing,Card,6/5/2024 7:46,Pokhara,50,No,9853358601,Quick delivery,Female
CUST146,Sita Tamang,11,995,13134,Website,5,Clothing,Card,10/18/2024 5:27,-,120,Yes,9849662918,Great experience,Male
CUST147,Sarita Lama,4,1162,4648,Website,1,Clothing,Cash,1/21/2024 22:49,-,0,No,9819370475,Satisfied with quality,Female
CUST148,Asha Rai,10,891,8910,Market Visit,5,Groceries,Card,9/6/2024 10:13,Bhaktapur,0,No,9818603377,Great experience,Female
CUST149,Kamal Sharma,5,437,2185,Website,4,Household,Card,7/25/2024 17:22,-,100,No,9825023021,Friendly staff,Female
CUST150,Ram Shrestha,8,433,4000,Market Visit,4,Clothing,Mobile Payment,11/28/2023 4:16,Kathmandu,0,Yes,9848380695,Satisfied with quality,Female
CUST151,Bishal Gurung,1,248,248,Website,1,Household,Card,8/27/2024 18:03,-,50,No,9831874381,Quick delivery,Male
CUST152,Sita Tamang,11,1474,19456,Website,3,Clothing,Mobile Payment,4/18/2024 11:46,-,0,Yes,9855329144,Friendly staff,Male
CUST153,Nima Sherpa,7,380,3009,Website,2,Clothing,Mobile Payment,2/5/2024 23:08,-,120,Yes,9824012275,Quick delivery,Male
CUST154,Kamal Sharma,8,1331,10648,Website,5,Groceries,Card,6/30/2024 13:21,-,0,No,9841621001,Quick delivery,Female
CUST155,Ram Shrestha,3,1231,3693,Market Visit,3,Clothing,Cash,6/11/2024 22:29,Pokhara,50,No,9877664413,Quick delivery,Male
CUST156,Sarita Lama,6,796,4776,Website,2,Electronics,Cash,7/20/2024 17:58,-,200,No,9883917691,Friendly staff,Female
CUST157,Asha Rai,11,595,7854,Market Visit,2,Personal Care,Card,2/24/2024 18:09,Lalitpur,240,Yes,9864549861,Friendly staff,Female
CUST158,Asha Rai,4,1524,6034,Market Visit,4,Clothing,Card,10/29/2024 6:15,Bhaktapur,240,Yes,9874995713,Prices a bit high,Female
CUST159,Sarita Lama,8,1237,9896,Website,5,Groceries,Card,9/23/2024 1:30,-,200,No,9897796176,Prices a bit high,Male
CUST160,Bishal Gurung,10,1876,18760,Market Visit,5,Clothing,Cash,12/16/2023 14:14,Lalitpur,50,No,9816967854,Quick delivery,Female
CUST161,Sarita Lama,3,161,424,Market Visit,5,Clothing,Cash,4/3/2024 6:37,Kathmandu,0,Yes,9811545472,Satisfied with quality,Male
CUST162,Sita Tamang,7,1459,11554,Website,5,Electronics,Card,1/25/2024 4:45,-,120,Yes,9838411632,Prices a bit high,Male
CUST163,Ram Shrestha,2,1127,1486,Website,5,Household,Card,6/5/2024 23:30,-,60,Yes,9881702046,Satisfied with quality,Female
CUST164,Ram Shrestha,6,688,4128,Market Visit,2,Household,Mobile Payment,11/19/2023 5:06,Kathmandu,200,No,9867455526,Satisfied with quality,Male
CUST165,Sita Tamang,8,731,6753,Website,5,Clothing,Mobile Payment,9/10/2024 7:13,-,60,Yes,9886201877,Friendly staff,Female
CUST166,Ram Shrestha,2,695,1390,Market Visit,5,Household,Card,6/8/2024 2:22,Kathmandu,200,No,9818811506,Friendly staff,Female
CUST167,Sita Tamang,5,1062,5606,Market Visit,5,Electronics,Card,4/26/2024 19:37,Kathmandu,240,Yes,9816152544,Quick delivery,Male
CUST168,Bishal Gurung,6,1419,8514,Website,4,Electronics,Cash,5/22/2024 11:09,-,200,No,9892024060,Prices a bit high,Male
CUST169,Kamal Sharma,2,1986,2620,Website,5,Personal Care,Cash,2/28/2024 12:54,-,60,Yes,9851058594,Satisfied with quality,Female
CUST170,Sarita Lama,9,651,5859,Website,5,Household,Card,4/14/2024 21:40,-,100,No,9849636866,Prices a bit high,Male
CUST171,Kamal Sharma,6,1273,7638,Website,4,Clothing,Cash,5/28/2024 7:43,-,50,No,9834681666,Great experience,Female
CUST172,Bishal Gurung,10,1205,14314,Market Visit,5,Personal Care,Mobile Payment,5/4/2024 6:18,Pokhara,120,Yes,9881748820,Friendly staff,Male
CUST173,Asha Rai,5,151,755,Website,2,Clothing,Cash,10/4/2024 13:23,-,0,No,9810123535,Great experience,Female
CUST174,Bishal Gurung,9,1518,16029,Website,2,Clothing,Card,11/10/2023 23:24,-,60,Yes,9866509226,Prices a bit high,Male
CUST175,Sarita Lama,9,1598,16874,Market Visit,5,Electronics,Cash,6/18/2024 23:11,Bhaktapur,0,Yes,9823710200,Quick delivery,Female
CUST176,Sita Tamang,2,414,828,Market Visit,1,Household,Mobile Payment,7/19/2024 23:52,Kathmandu,200,No,9846793240,Prices a bit high,Male
CUST177,Ram Shrestha,5,464,2449,Website,5,Clothing,Card,3/11/2024 7:51,-,120,Yes,9852329539,Satisfied with quality,Female
CUST178,Nima Sherpa,5,963,4815,Market Visit,5,Groceries,Card,3/6/2024 11:41,Pokhara,0,No,9852394116,Quick delivery,Male
CUST179,Bishal Gurung,5,811,4055,Market Visit,3,Personal Care,Card,6/25/2024 6:31,Kathmandu,200,No,9854701820,Prices a bit high,Male
CUST180,Sita Tamang,7,173,1211,Market Visit,5,Household,Card,8/1/2024 21:24,Kathmandu,200,No,9849093727,Satisfied with quality,Male
CUST181,Nima Sherpa,7,1975,13825,Website,5,Personal Care,Cash,9/16/2024 0:13,-,50,No,9834025569,Great experience,Female
CUST182,Sarita Lama,2,517,681,Website,5,Clothing,Card,12/11/2023 11:14,-,60,Yes,9811181461,Great experience,Male
CUST183,Sarita Lama,6,912,5472,Market Visit,3,Clothing,Card,2/16/2024 13:02,Bhaktapur,100,No,9814846841,Quick delivery,Female
CUST184,Asha Rai,2,452,596,Website,5,Electronics,Cash,5/22/2024 19:34,-,120,Yes,9838935314,Friendly staff,Male
CUST185,Kamal Sharma,9,1670,15030,Website,3,Household,Mobile Payment,5/13/2024 3:42,-,0,No,9836458427,Great experience,Female
CUST186,Asha Rai,10,1857,18570,Website,2,Electronics,Cash,9/9/2024 9:24,-,100,No,9880728103,Great experience,Male
CUST187,Kamal Sharma,8,1098,10144,Website,3,Household,Cash,2/23/2024 13:48,-,120,Yes,9869200002,Satisfied with quality,Male
CUST188,Bishal Gurung,2,232,464,Market Visit,4,Clothing,Mobile Payment,7/2/2024 23:23,Kathmandu,0,No,9824944670,Friendly staff,Male
CUST189,Bishal Gurung,5,1494,7887,Market Visit,5,Clothing,Cash,1/15/2024 2:35,Kathmandu,240,Yes,9894642003,Quick delivery,Male
CUST190,Suprem Kc,5,203,1071,Website,4,Personal Care,Mobile Payment,5/19/2024 6:24,-,120,Yes,9883139442,Satisfied with quality,Male
